Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Code
Belgium,29890,30110,30490,30680,31640,32200,32800,33760,33640,32700,33330,33460,33490,33490,33870,34360,34690,35210,35580,35900,BEL
Bulgaria,3010,3230,3440,3640,3890,4190,4500,4820,5140,4990,5050,5300,5350,5400,5530,5790,6050,6310,6550,6800,BGR
Denmark,42190,42390,42430,42490,43520,44400,45990,46210,45700,43220,43840,44240,44170,44410,44890,45630,46720,47360,48260,49190,DNK
Germany,28900,29370,29290,29090,29470,29730,30930,31920,32320,30580,31940,33200,33280,33330,33930,34220,34700,35420,35860,35980,DEU
Estonia,7570,8070,8680,9390,10090,11110,12260,13270,12640,10830,11150,12010,12430,12640,13060,13330,13650,14440,15090,15670,EST
Ireland,33310,34520,35930,36420,38190,39470,40400,41300,38600,36300,36790,36760,36690,37010,39890,49470,50710,54240,57960,60350,IRL
Greece,17570,18210,18850,19890,20850,20910,22030,22690,22560,21530,20320,18500,17240,16800,17040,17080,17110,17410,17780,18150,GRC
Spain,21460,22190,22430,22680,23020,23420,24000,24380,24200,23100,23040,22770,22080,21840,22210,23080,23760,24410,24880,25170,ESP
France,28930,29290,29410,29440,30050,30320,30850,31400,31310,30250,30690,31210,31160,31170,31320,31540,31770,32370,32830,33360,FRA
Croatia,8200,8460,8890,9400,9780,10190,10700,11260,11470,10630,10500,10500,10300,10280,10310,10630,11100,11560,11990,12480,HRV
Italy,27430,27950,27960,27850,28030,28090,28480,28730,28230,26590,26930,27020,26090,25480,25420,25640,26020,26490,26740,26860,ITA
Cyprus,20130,20700,21230,21520,22300,23050,23740,24420,24680,23550,23400,22900,21780,20400,20240,21040,22360,23120,23770,24250,CYP
Latvia,5210,5610,6080,6660,7290,8170,9220,10220,9990,8710,8500,9200,9700,10030,10310,10740,11030,11560,12140,12490,LVA
Lithuania,5230,5620,6050,6740,7260,7950,8670,9750,10110,8710,9030,9790,10300,10780,11250,11590,12040,12720,13310,13880,LTU
Luxembourg,70460,71440,73380,73650,75270,76460,79190,84420,81880,76900,79160,79310,77240,78030,79490,81300,82880,82550,83470,83640,LUX
Hungary,7900,8240,8660,9040,9490,9910,10330,10370,10500,9810,9900,10110,10010,10230,10690,11130,11410,11930,12560,13180,HUN
Malta,13830,13800,14110,14370,14340,14790,15000,15550,15960,15450,15920,16070,16370,16920,18030,19520,20190,20910,21670,21890,MLT
Netherlands,35060,35610,35460,35350,35920,36570,37780,39120,39810,38160,38470,38880,38340,38180,38580,39170,39810,40730,41540,42020,NLD
Austria,31710,31990,32360,32520,33200,33710,34700,35870,36280,34830,35390,36300,36390,36180,36130,36140,36430,37090,37810,38240,AUT
Poland,6440,6520,6650,6900,7250,7510,7980,8550,8910,9070,9390,9860,10020,10170,10510,10920,11260,11820,12460,12980,POL
Portugal,16230,16430,16470,16250,16500,16600,16840,17230,17260,16710,16990,16720,16110,16050,16260,16620,17010,17650,18150,18550,PRT
Romania,,,4250,4370,4860,5120,5560,6050,6730,6410,6190,6350,6510,6760,7020,7320,7720,8320,8740,9130,ROU
Slovenia,13980,14410,14900,15330,15990,16570,17460,18570,19190,17570,17750,17870,17360,17160,17620,17990,18540,19430,20170,20490,SVN
Slovakia,7780,8060,8420,8890,9350,9960,10800,11960,12600,11890,12540,12980,13200,13270,13620,14270,14550,14970,15540,15890,SVK
Finland,30510,31230,31690,32250,33440,34250,35490,37210,37330,34150,35080,35810,35140,34660,34390,34460,35300,36310,36850,37170,FIN
Sweden,33780,34180,34820,35470,36860,37770,39290,40340,39930,37910,39920,40820,40270,40360,41060,42430,42910,43350,43810,43900,SWE
United Kingdom,26920,27610,28130,28920,29460,30160,30790,31280,30940,29420,29750,29960,30200,30660,31220,31700,32050,32460,32700,32960,GBR
Iceland,28290,28990,28940,29420,31420,33040,33820,36140,35940,33520,32490,33000,33250,34290,34620,35890,37750,38540,38960,38840,ISL
Norway,61660,62620,63190,63380,65510,66780,67830,69140,68610,66580,66220,66010,66900,66780,67340,67950,68090,69130,69530,69770,NOR
Switzerland,50770,51220,50930,50580,51630,52920,54720,56500,57030,55080,56150,56690,56660,57040,57730,57840,58200,58700,59870,59970,CHE
Montenegro,,,,,,,,4890,5230,4920,5050,5200,5060,5230,5320,5500,5660,5920,6230,,MNE
Serbia,2650,2840,3020,3160,3460,3660,3860,4130,4380,4280,4330,4450,4440,4590,4540,4640,4820,4950,5190,5430,SRB
Turkey,6100,5660,5950,6210,6720,7240,7660,7940,7910,7430,7940,8700,9000,9640,10000,10470,10660,11310,11470,,TUR
